freq(GHz)  ch1  ch2  ch3  ch4  ch5  ch6  ch7  ch8 
      9.0000000     -0.1844231      0.0245353      0.0000000      0.0000000      0.5122259      1.0080757     -0.2770484     -0.0708987
      9.0119877     -0.1842509      0.0245125      0.0000000      0.0000000      0.5117481      1.0071354     -0.2767898     -0.0708325
      9.0239763     -0.1612251      0.0224786      0.0000000      0.0000000      0.4567400      0.8988778     -0.2426441     -0.0611474
      9.0359640     -0.1692758      0.0156410      0.0000000      0.0000000      0.4464933      0.8902724     -0.2349024     -0.0629616
      9.0479517     -0.1778356      0.0202178      0.0000000      0.0000000      0.5016581      1.0002667     -0.2481024     -0.0629811
      9.0599403     -0.1776539      0.0201971      0.0000000      0.0000000      0.5011456      0.9992447     -0.2478489     -0.0629168
      9.0719280     -0.1774521      0.0201742      0.0000000      0.0000000      0.5005761      0.9981093     -0.2475674     -0.0628453
      9.0839157     -0.1729875      0.0171794      0.0000000      0.0000000      0.4665731      0.9303098     -0.2404704     -0.0633430
      9.0959044     -0.1717897      0.0128404      0.0000000      0.0000000      0.5091141      0.9385685     -0.2314515     -0.0869644
      9.1078920     -0.1870794      0.0105483      0.0000000      0.0000000      0.5213838      0.9611880     -0.2509568     -0.0973540
      9.1198797     -0.1867732      0.0105311      0.0000000      0.0000000      0.5205304      0.9596148     -0.2505460     -0.0971946
      9.1318684     -0.2054554      0.0131647      0.0000000      0.0000000      0.5877987      1.0836260     -0.2761107     -0.1056977
      9.1438560     -0.2043754      0.0110992      0.0000000      0.0000000      0.5655055      1.0425278     -0.2740232     -0.1066819
      9.1558437     -0.2039941      0.0110785      0.0000000      0.0000000      0.5644503      1.0405825     -0.2735119     -0.1064829
      9.1678324     -0.1792604      0.0170293      0.0000000      0.0000000      0.5614898      1.0628765     -0.2535352     -0.0879327
      9.1798201     -0.1789313      0.0169980      0.0000000      0.0000000      0.5604594      1.0609258     -0.2530698     -0.0877712
      9.1918077     -0.1786157      0.0169680      0.0000000      0.0000000      0.5594704      1.0590539     -0.2526233     -0.0876164
      9.2037964     -0.2081495      0.0164948      0.0000000      0.0000000      0.6209432      1.1754192     -0.2930221     -0.1044722
      9.2157841     -0.2078270      0.0164692      0.0000000      0.0000000      0.6199809      1.1735977     -0.2925682     -0.1043104
      9.2277718     -0.1955867      0.0169450      0.0000000      0.0000000      0.5463203      1.0595056     -0.2745443     -0.0870522
      9.2397604     -0.1953312      0.0169228      0.0000000      0.0000000      0.5456066      1.0581217     -0.2741857     -0.0869385
      9.2517481     -0.1950965      0.0169025      0.0000000      0.0000000      0.5449507      1.0568497     -0.2738563     -0.0868341
      9.2637367     -0.1747143      0.0193799      0.0000000      0.0000000      0.5270729      1.0221783     -0.2469312     -0.0743384
      9.2757244     -0.1745279      0.0193592      0.0000000      0.0000000      0.5265107      1.0210880     -0.2466678     -0.0742591
      9.2877121     -0.1798500      0.0148411      0.0000000      0.0000000      0.5313274      1.0094455     -0.2718641     -0.0998374
      9.2997007     -0.1796145      0.0148217      0.0000000      0.0000000      0.5306316      1.0081236     -0.2715080     -0.0997067
      9.3116884     -0.1793701      0.0148015      0.0000000      0.0000000      0.5299097      1.0067520     -0.2711387     -0.0995710
      9.3236761     -0.1778916      0.0174838      0.0000000      0.0000000      0.5515358      1.0478386     -0.2700869     -0.0966962
      9.3356647     -0.1776153      0.0174566      0.0000000      0.0000000      0.5506790      1.0462109     -0.2696674     -0.0965460
      9.3476524     -0.1854361      0.0115480      0.0000000      0.0000000      0.5349882      1.0187665     -0.2671241     -0.0925278
      9.3596401     -0.1851017      0.0115272      0.0000000      0.0000000      0.5340234      1.0169293     -0.2666424     -0.0923610
      9.3716288     -0.1847463      0.0115050      0.0000000      0.0000000      0.5329983      1.0149771     -0.2661305     -0.0921836
      9.3836164     -0.2135328      0.0023493      0.0000000      0.0000000      0.5140069      0.9788123     -0.3032067     -0.1148793
      9.3956041     -0.2130967      0.0023444      0.0000000      0.0000000      0.5129569      0.9768127     -0.3025875     -0.1146447
      9.4075928     -0.1945088      0.0061178      0.0000000      0.0000000      0.4760432      0.9128501     -0.2617593     -0.0991740
      9.4195805     -0.1940990      0.0061049      0.0000000      0.0000000      0.4750401      0.9109268     -0.2612078     -0.0989650
      9.4315681     -0.1936927      0.0060922      0.0000000      0.0000000      0.4740458      0.9090200     -0.2606610     -0.0987579
      9.4435568     -0.1888220      0.0119512      0.0000000      0.0000000      0.5175241      0.9923930     -0.2561540     -0.0915164
      9.4555445     -0.1884501      0.0119276      0.0000000      0.0000000      0.5165042      0.9904374     -0.2556494     -0.0913362
      9.4675322     -0.1880706      0.0126898      0.0000000      0.0000000      0.5227090      1.0023355     -0.2554024     -0.0905300
      9.4795208     -0.1738559      0.0159239      0.0000000      0.0000000      0.5461470      1.0001912     -0.2569000     -0.0902350
      9.4915085     -0.1736228      0.0159026      0.0000000      0.0000000      0.5454147      0.9988502     -0.2565556     -0.0901140
      9.5034962     -0.1750329      0.0126871      0.0000000      0.0000000      0.5178733      0.9484119     -0.2571703     -0.0933097
      9.5154848     -0.1748452      0.0126736      0.0000000      0.0000000      0.5173183      0.9473955     -0.2568946     -0.0932096
      9.5274725     -0.1644017      0.0139858      0.0000000      0.0000000      0.5061990      0.9270321     -0.2424591     -0.0861178
      9.5394602     -0.1558875      0.0169539      0.0000000      0.0000000      0.4810414      0.9370615     -0.2407155     -0.0867558
